colour	x	xend	key	showSelectedlegendcolour	showSelected2	group
#F8766D	-1.4069480211474	-1.4069480211474	-1.4069480211474	error	0	1
#F8766D	-0.767256602179259	-0.767256602179259	-0.767256602179259	error	0	2
#F8766D	0.437120180111378	0.437120180111378	0.437120180111378	error	0	3
#F8766D	2.44924673996866	2.44924673996866	2.44924673996866	error	0	4
#F8766D	-1.78990841377527	-1.78990841377527	-1.78990841377527	error	0	5
#F8766D	2.39033810980618	2.39033810980618	2.39033810980618	error	0	6
#F8766D	2.66805161163211	2.66805161163211	2.66805161163211	error	0	7
#F8766D	0.964786754921079	0.964786754921079	0.964786754921079	error	0	8
#F8766D	0.774684263393283	0.774684263393283	0.774684263393283	error	0	9
#F8766D	-2.62928237719461	-2.62928237719461	-2.62928237719461	error	0	10
#F8766D	-1.76415255060419	-1.76415255060419	-1.76415255060419	error	0	11
#F8766D	-1.94065948482603	-1.94065948482603	-1.94065948482603	error	0	12
#F8766D	1.1221370799467	1.1221370799467	1.1221370799467	error	0	13
#F8766D	-0.695377690717578	-0.695377690717578	-0.695377690717578	error	0	14
#F8766D	1.61904851999134	1.61904851999134	1.61904851999134	error	0	15
#F8766D	-0.0138045474886894	-0.0138045474886894	-0.0138045474886894	error	0	16
#F8766D	1.30571104958653	1.30571104958653	1.30571104958653	error	0	17
#F8766D	2.9514365689829	2.9514365689829	2.9514365689829	error	0	18
#F8766D	-0.719788923393935	-0.719788923393935	-0.719788923393935	error	0	19
#F8766D	1.66467132791877	1.66467132791877	1.66467132791877	error	0	20
#F8766D	2.60823138663545	2.60823138663545	2.60823138663545	error	0	21
#F8766D	-1.72714487230405	-1.72714487230405	-1.72714487230405	error	0	22
#F8766D	0.910042596515268	0.910042596515268	0.910042596515268	error	0	23
#F8766D	-2.2466694242321	-2.2466694242321	-2.2466694242321	error	0	24
#F8766D	-1.39667598763481	-1.39667598763481	-1.39667598763481	error	0	25
#F8766D	-0.683315444737673	-0.683315444737673	-0.683315444737673	error	0	26
#F8766D	-2.91965800104663	-2.91965800104663	-2.91965800104663	error	0	27
#F8766D	-0.705672257579863	-0.705672257579863	-0.705672257579863	error	0	28
#F8766D	2.21814507432282	2.21814507432282	2.21814507432282	error	0	29
#F8766D	-0.957906019873917	-0.957906019873917	-0.957906019873917	error	0	30
#F8766D	-0.107519307173789	-0.107519307173789	-0.107519307173789	error	0	31
#F8766D	0.59739495255053	0.59739495255053	0.59739495255053	error	0	32
#F8766D	-0.0387521577067673	-0.0387521577067673	-0.0387521577067673	error	0	33
#F8766D	-1.88269439153373	-1.88269439153373	-1.88269439153373	error	0	34
#F8766D	1.96423991164193	1.96423991164193	1.96423991164193	error	0	35
#F8766D	1.01080042915419	1.01080042915419	1.01080042915419	error	0	36
#F8766D	1.76543916435912	1.76543916435912	1.76543916435912	error	0	37
#F8766D	-2.35233824467286	-2.35233824467286	-2.35233824467286	error	0	38
#F8766D	1.34226567624137	1.34226567624137	1.34226567624137	error	0	39
#F8766D	-0.53235342213884	-0.53235342213884	-0.53235342213884	error	0	40
#F8766D	1.92567776469514	1.92567776469514	1.92567776469514	error	0	41
#F8766D	0.882361162919551	0.882361162919551	0.882361162919551	error	0	42
#F8766D	1.69759657373652	1.69759657373652	1.69759657373652	error	0	43
#F8766D	0.318217869848013	0.318217869848013	0.318217869848013	error	0	44
#F8766D	0.178317481186241	0.178317481186241	0.178317481186241	error	0	45
#F8766D	1.73613739013672	1.73613739013672	1.73613739013672	error	0	46
#F8766D	-2.86001278599724	-2.86001278599724	-2.86001278599724	error	0	47
#F8766D	-0.13661960978061	-0.13661960978061	-0.13661960978061	error	0	48
#F8766D	1.3938824320212	1.3938824320212	1.3938824320212	error	0	49
#F8766D	1.15638933889568	1.15638933889568	1.15638933889568	error	0	50
#F8766D	-0.134282267186791	-0.134282267186791	-0.134282267186791	error	0	51
#F8766D	2.1672568609938	2.1672568609938	2.1672568609938	error	0	52
#F8766D	-0.371417356655002	-0.371417356655002	-0.371417356655002	error	0	53
#F8766D	-1.5312163378112	-1.5312163378112	-1.5312163378112	error	0	54
#F8766D	-2.5759257171303	-2.5759257171303	-2.5759257171303	error	0	55
#F8766D	-2.40320303896442	-2.40320303896442	-2.40320303896442	error	0	56
#F8766D	-1.1023697569035	-1.1023697569035	-1.1023697569035	error	0	57
#F8766D	0.111805579159409	0.111805579159409	0.111805579159409	error	0	58
#F8766D	0.972030458506197	0.972030458506197	0.972030458506197	error	0	59
#F8766D	-0.559018876869231	-0.559018876869231	-0.559018876869231	error	0	60
#F8766D	2.47725554555655	2.47725554555655	2.47725554555655	error	0	61
#F8766D	-1.2383797634393	-1.2383797634393	-1.2383797634393	error	0	62
#F8766D	-0.24560564244166	-0.24560564244166	-0.24560564244166	error	0	63
#F8766D	-1.00563195487484	-1.00563195487484	-1.00563195487484	error	0	64
#F8766D	0.905222802422941	0.905222802422941	0.905222802422941	error	0	65
#F8766D	-1.45189931569621	-1.45189931569621	-1.45189931569621	error	0	66
#F8766D	-0.128728510346264	-0.128728510346264	-0.128728510346264	error	0	67
#F8766D	1.59786402387545	1.59786402387545	1.59786402387545	error	0	68
#F8766D	-2.49451851379126	-2.49451851379126	-2.49451851379126	error	0	69
#F8766D	2.25192798022181	2.25192798022181	2.25192798022181	error	0	70
#F8766D	-0.965562372934073	-0.965562372934073	-0.965562372934073	error	0	71
#F8766D	2.03664210112765	2.03664210112765	2.03664210112765	error	0	72
#F8766D	-0.919899065047503	-0.919899065047503	-0.919899065047503	error	0	73
#F8766D	-0.997350415214896	-0.997350415214896	-0.997350415214896	error	0	74
#F8766D	-0.14189252955839	-0.14189252955839	-0.14189252955839	error	0	75
#F8766D	2.35319001507014	2.35319001507014	2.35319001507014	error	0	76
#F8766D	2.18603682378307	2.18603682378307	2.18603682378307	error	0	77
#F8766D	-0.660062739159912	-0.660062739159912	-0.660062739159912	error	0	78
#F8766D	1.66392419300973	1.66392419300973	1.66392419300973	error	0	79
#F8766D	2.76370798330754	2.76370798330754	2.76370798330754	error	0	80
#F8766D	-0.392043091356754	-0.392043091356754	-0.392043091356754	error	0	81
#F8766D	1.27508807228878	1.27508807228878	1.27508807228878	error	0	82
#F8766D	-0.600033786613494	-0.600033786613494	-0.600033786613494	error	0	83
